id	name	arcana	level	description	image	strength	magic	endurance	agility	luck	weak	resists	reflects	absorbs	nullifies	dlc	query
12	Orpheus Telos	Fool	91	By bonding with many people, Orpheus was once again born from the sea of the soul. He has awakened to a power that holds infinite possibilities.	https://megatenwiki.com/images/2/26/P3_Orpheus_Telos_Artwork.png	63	63	63	63	63		Slash,Strike,Pierce,Fire,Ice,Electric,Wind,Light,Dark				0	orpheus-telos
13	Hermes	Magician	1	A messenger god who served Zeus. His winged sandals allow him to fly, and he was worshiped as a god of travel and commerce. He was also known as a trickster, being able to freely cross between the mortal and godly realms. 	https://megatenwiki.com/images/a/a7/P3R_Hermes_Artwork.png	3	1	2	3	1	Wind	Fire				0	hermes
14	Trismegistus	Magician	1	A Hellenistic figure who represents a blending of the Greek god Hermes and the Egyptian god Thoth. His full name, Hermes Trismegistus, means ''Hermes, thrice greatest,'' and he is thought to be the author of the Corpus Hermeticum. 	https://megatenwiki.com/images/e/e2/P3_Trismegistus_Artwork.png	3	1	2	3	1	Wind				Fire	0	trismegistus
15	Nekomata	Magician	3	Incarnations of long-lived cats in Japanese mythology. They have various powers, including human speech and control over the dead.	https://megatenwiki.com/images/f/ff/P5X_Nekomata_Artwork.png	4	4	2	5	2	Electric	Wind				0	nekomata
16	Jack Frost	Magician	8	A winter fairy of European descent. He leaves ice patterns on windows and nips people's noses. Though normally an innocent creature, he will freeze his victims to death if provoked.	https://megatenwiki.com/images/3/3a/P5X_Jack_Frost_Artwork.png	5	9	8	6	4	Fire				Ice	0	jack-frost
17	Jack-o'-Lantern	Magician	15	A drunkard who tricked the Devil out of taking him to Hell. When refused entry to Heaven, he was forced to wander the earth with only an ember as a light.	https://megatenwiki.com/images/2/2e/P5X_Jack-o-Lantern_Artwork.png	8	15	9	9	11	Ice				Fire	0	jack-o-lantern
18	Hua Po	Magician	19	A spirit of Chinese folklore who dwells in trees once used for hangings. She is smaller than a human and cannot speak, but her voice is said to be as clear and as beautiful as a bird's song.	https://megatenwiki.com/images/2/2d/P5X_Hua_Po_Artwork.png	8	21	13	17	11	Ice				Fire,Dark	0	hua-po
19	Zorro	Magician	22	A Persona of another story. He was a masked swordsman of justice who fought in California against corrupt officials during the era of Spanish rule. He always left his ''Z'' mark wherever he appeared.	https://megatenwiki.com/images/7/7a/P5X_Zorro_Artwork.png	13	17	13	15	15	Electric	Wind				1	zorro
20	Sati	Magician	29	Shiva's first consort in Hindu myth, she threw herself into a sacrificial fire in protest of her father's treatment of Shiva. Reborn as Parvati, she was reunited with Shiva.	https://megatenwiki.com/images/2/29/P3_Sati_Artwork.png	13	27	13	21	20	Ice				Fire	0	sati
21	Orobas	Magician	39	One of the 72 demons of the Goetia. Known as the Prince of Hell, he appears as a horse and answers questions of the past, present, and future. He is faithful to his conjurer.	https://megatenwiki.com/images/9/92/P5X_Orobas_Artwork.png	22	33	22	28	19	Ice	Dark			Wind	0	orobas
22	Mercurius	Magician	43	A Persona of another story. He is the Roman god of travelers and thieves. He is seen as a symbol of human unconscious and the mental world. He is equated with the philosopher's stone, the ultimate mystery in alchemy.	https://megatenwiki.com/images/7/71/P3R_Mercurius_Render.png	23	31	22	33	27	Electric	Light			Wind	1	mercurius
23	Rangda	Magician	50	A wicked witch of Balinese lore, she represents evil and is Barong's eternal rival. Even if defeated, she will come back to life, and their battle will have no end.	https://megatenwiki.com/images/a/a3/P5X_Rangda_Artwork.png	33	39	28	30	30	Ice,Electric	Fire	Strike			0	rangda
24	Surt	Magician	60	A fire giant in Norse mythology. He rules the fire realm, Muspelheim, and brandishes a burning sword. At Ragnarok, he will set the world ablaze.	https://megatenwiki.com/images/a/ab/P5X_Surt_Artwork.png	43	51	40	28	34	Ice			Fire		0	surt
25	Futsunushi	Magician	74	The Nihonshoki sword deity who pacified Ashihara-no-Nakatsukuni. His name comes from ''futsu,'' the fashion in which things are cut, and ''nushi,'' his nature as a god.	https://megatenwiki.com/images/0/06/SH1_Futsunushi_Artwork.png	62	49	50	42	35	Dark	Strike,Electric			Slash	0	futsunushi
26	Apsaras	Priestess	2	Hindu water spirits, they are beautiful young women who dance for the gods. They also guide heroes fallen in battle to paradise. 	https://megatenwiki.com/images/5/58/P5X_Apsaras_Artwork.png	2	4	2	3	2	Fire	Ice				0	apsaras
27	Unicorn	Priestess	11	A legendary white horse with a single spiral horn. It can only be tamed by a pure maiden, and its horn supposedly has miraculous healing capabilities.	https://megatenwiki.com/images/5/54/P5X_Unicorn_Artwork.png	5	10	12	8	7	Wind,Dark				Ice,Light	0	unicorn
28	Lucia	Priestess	18	A saint who was martyred during the persecution of Christianity in the time of the Roman Empire. She was tortured and had her eyes gouged out, but a miracle restored her sight. She is revered as the patron saint of the blind. 	https://megatenwiki.com/images/5/53/P3R_Lucia_Artwork.png	9	15	12	13	12						0	lucia
29	Juno	Priestess	18	The goddess of family and marriage, and wife to the Roman god Jupiter. She is often equated with the Greek goddess Hera. Though she is kind, she is also vengeful, seeking to punish women who have affairs with her husband. 	https://megatenwiki.com/images/e/eb/P3_Juno_Artwork.png	9	15	12	13	12						0	juno
30	High Pixie	Priestess	20	The leader of a swarm of pixies. Any pixie in a leadership role or with remarkable power is called by this name.	https://megatenwiki.com/images/c/c9/P5X_High_Pixie_Artwork.png	11	20	10	13	13	Wind				Ice	0	high-pixie
31	Johanna	Priestess	28	A Persona of another story. She is the mysterious female pope of the Middle Ages. She posed as a man and eventually made it all the way up to pope due to her unrivaled intellect.	https://megatenwiki.com/images/4/44/P5X_Johanna_Artwork.png	19	19	17	21	15	Electric	Strike				1	johanna
32	Sarasvati	Priestess	32	The Hindu goddess of rivers, and patron of speech, writing, learning, the arts, and sciences. Brahma is her husband.	https://megatenwiki.com/images/b/b9/P5X_Sarasvati_Artwork.png	17	26	16	24	22	Electric	Light			Ice	0	sarasvati
33	Ganga	Priestess	41	The personification of the Ganges river. Originally from the heavens, she came to earth to clean the souls of the people as a result of the prayers of Bhagiratha.	https://megatenwiki.com/images/e/e0/P3_Ganga_Artwork.png	24	30	26	22	28	Fire,Dark	Pierce,Ice,Light				0	ganga
34	Parvati	Priestess	48	A beautiful Hindu goddess of love and one of Shiva's wives. Always by his side, she played a role in opening his third eye. She can turn into Durga or Kali when angered.	https://megatenwiki.com/images/f/fd/P5X_Parvati_Artwork.png	26	40	26	31	31	Fire				Ice	0	parvati
35	Anat	Priestess	53	A Persona of another story. She is the daughter of Ugaritic's highest god El. She is the goddess of fertility, as well as hunting and war.	https://megatenwiki.com/images/f/f7/P3R_Anat_Render.png	36	39	33	37	23	Electric	Ice			Strike	1	anat
36	Kikuri-Hime	Priestess	61	The goddess of life in Shinto myth. She once mediated between Izanagi and Izanami during their confrontation in Yomi, the land of the dead.	https://megatenwiki.com/images/5/58/P5X_Kikuri-Hime_Artwork.png	29	50	34	41	39	Fire	Wind,Light			Ice	0	kikuri-hime
37	Scathach	Priestess	75	A warrior woman of the Land of Shadows in Celtic lore. She taught the hero, Cu Chulainn, the art of war and gave him the spear, Gae Bolg.	https://megatenwiki.com/images/0/08/P5X_Scathach_Artwork.png	55	58	40	49	42	Fire	Wind,Light			Pierce,Ice	0	scathach
38	Penthesilea	Empress	20	A queen of the Amazons in Greek mythology. She fought for the Trojans during the Trojan War, but was slain by Achilles. When Achilles took off her helmet and saw her beautiful face, he felt great remorse for killing her. 	https://megatenwiki.com/images/a/a7/P3R_Penthesilea_Artwork.png	13	17	11	15	11	Fire	Ice				0	penthesilea
39	Artemisia	Empress	20	The heroic queen of Halicarnassus mentioned in Herodotus's The Histories. During the Persian Wars between the Greek states and Persia, she was the only woman to take command in the Persian fleet. 	https://megatenwiki.com/images/0/03/P3_Artemisia_Artwork.png	13	17	11	15	11	Fire				Ice	0	artemisia
40	Leanan Sidhe	Empress	21	A beautiful fairy of Irish lore that yearns for the love of a human man. She drains the life of her lovers in return for granting them artistic inspiration.	https://megatenwiki.com/images/d/d9/P5X_Leanan_Sidhe_Artwork.png	12	22	13	15	14	Fire	Wind				0	leanan-sidhe
41	Yakshini	Empress	32	A female demon in Hindu lore. Though originally a Dravidian fertility goddess, the spread of Hinduism changed perception of her to a demonic figure. Usually depicted as a nude, voluptuous, female.	https://megatenwiki.com/images/8/89/P5X_Yakshini_Artwork.png	33	16	13	25	18	Fire	Pierce			Ice	0	yakshini
42	Milady	Empress	36	A Persona of another story. She is the beautiful woman that appears in Dumas's The Three Musketeers. Branded with a fleur-de-lis symbol, she used many aliases to control nobility and get her vengeance.	https://megatenwiki.com/images/8/8f/P5X_Milady_Artwork.png	27	24	22	22	20	Fire	Pierce				1	milady
43	Hariti	Empress	48	Also known as Kishimojin, she once ate children, but stopped after Buddha changed her ways. She now eats pomegranates and is a goddess of parenting.	https://megatenwiki.com/images/1/1f/P5X_Hariti_Artwork.png	24	42	31	28	33	Electric			Ice,Light		0	hariti
44	Astarte	Empress	54	A Persona of another story. A Middle Eastern goddess of fertility. Many scriptures note her folklore, and there is even a mention of her as the ''Queen of Heaven'' in the Bible.	https://megatenwiki.com/images/d/d8/P3R_Astarte_Render.png	42	36	33	33	31	Fire	Dark			Pierce	1	astarte
45	Gabriel	Empress	62	One of the four major archangels. She is also the only female angel at this rank. Her name comes from the Sumerian word for ''governor.'' She is the angel who told Mary of her pregnancy.	https://megatenwiki.com/images/d/dd/P5X_Gabriel_Artwork.png	40	52	35	41	37	Wind,Dark			Ice	Light	0	gabriel
46	Skadi	Empress	68	A Norse giantess called the ''snow-shoe goddess'' and the embodiment of winter. According to legend, all the gods will return to her at the end of Ragnarok.	https://megatenwiki.com/images/c/c7/P5X_Skadi_Artwork.png	52	58	33	40	40	Fire	Wind		Ice		0	skadi
47	Mother Harlot	Empress	77	The fiend known as the ''Whore of Babylon,'' riding a beast with seven heads and ten horns, she carries a golden cup of abominations and the filth of her acts.	https://megatenwiki.com/images/3/37/SMT3_Mother_Harlot_Artwork.png	44	65	60	36	42	Fire,Wind		Electric		Strike,Dark	0	mother-harlot
48	Alilat	Empress	84	The Arabian mother goddess, also known as Allat. The Black Stone at the Kaaba was thought to be her residence. She and her son, Dushara, were worshiped there by desert nomads.	https://megatenwiki.com/images/a/a1/SH1_Alilat_Artwork.png	51	70	60	51	51	Fire,Dark	Wind	Slash,Strike		Ice	0	alilat
49	Forneus	Emperor	7	One of the 72 demons of the Goetia, he appears as a great sea monster. Known as the great Marquis of Hell, he is skilled linguistically, and is a master of rhetoric.	https://megatenwiki.com/images/e/e1/SMT1_PS_Forneus_Artwork.png	5	6	7	6	4	Electric	Ice				0	forneus
50	Polydeuces	Emperor	14	A hero in Greek mythology. As the son of Zeus and the mortal Leda, he inherited his father's immortality. He and his half-brother Castor were famed fighters, and both became stars in the constellation Gemini. 	https://megatenwiki.com/images/9/92/P3R_Polydeuces_Artwork.png	12	10	9	11	7	Ice	Electric				0	polydeuces
51	Caesar	Emperor	14	A statesman, general, and author known for his rule over the Roman Republic. His full name was Gaius Julius Caesar. His many accomplishments led to his name being used as a title for later Roman emperors. 	https://megatenwiki.com/images/5/5d/P3_Caesar_Artwork.png	12	10	9	11	7	Ice				Electric	0	caesar
52	Oberon	Emperor	16	The king of the fairies and Titania's husband. He is quite old but, due to a curse, his looks are that of a young boy. He often flirts with human women, ending in a scolding from his wife.	https://megatenwiki.com/images/8/85/P5X_Oberon_Artwork.png	11	15	9	12	8	Ice	Light,Dark			Electric	0	oberon
53	Take-Mikazuchi	Emperor	23	The Japanese god of thunder. He carries the divine sword Totsuka-no-Tsurugi and is said to be the founder of ancient sumo wrestling.	https://megatenwiki.com/images/1/16/SMT1_Take-Mikazuchi_Artwork.png	18	17	13	15	14	Wind	Slash			Electric	0	take-mikazuchi
54	Goemon	Emperor	27	A Persona of another story. Ishikawa Goemon was a thief who stole from the rich and gave to the poor in Japan during the Azuchi-Momoyama period. The kabuki scene of him sitting on the gate of Nanzen-ji is famous.	https://megatenwiki.com/images/a/a4/P5X_Goemon_Artwork.png	24	16	18	17	13	Fire	Ice				1	goemon
55	King Frost	Emperor	34	The king of snow who rules over an infinite number of Jack Frosts. He has the power to freeze the entire world, but is unaware of it due to his naive personality.	https://megatenwiki.com/images/4/40/P5X_King_Frost_Artwork.png	18	31	26	14	20	Fire			Ice		0	king-frost
56	Naga Raja	Emperor	43	The king of the Naga, a half-man, half-snake tribe in Hindu lore. The dragon kings Nanda and Takshaka of Buddhist myth fall into this royal category.	https://megatenwiki.com/images/3/33/P5X_Raja_Naga_Artwork.png	33	31	22	27	23	Fire	Pierce			Electric	0	naga-raja
57	Kamu Susano-o	Emperor	47	A Persona of another story. He was a Japanese god found in the Izumo Fudoki, and was one of the three gods born from Izanagi. He was violent, but also had a sensitive side, showing love for his mother and reading poems.	https://megatenwiki.com/images/7/78/P3R_Kamu_Susano-o_Render.png	40	25	30	30	23	Fire	Wind			Ice	1	kamu-susano-o
58	Belphegor	Emperor	53	Demonic governor of the deadly sin of sloth. He also excels at invention and discovery. May derive from Ba'al Pe'or, Syrian god of abundant crops.	https://megatenwiki.com/images/7/73/P5X_Belphegor_Artwork.png	34	43	38	28	29	Fire,Light	Ice,Electric		Dark		0	belphegor
59	Barong	Emperor	63	A mystical creature in Balinese lore, it represents good and is Rangda's eternal rival. Even if defeated, it will be reborn. The result is a never-ending struggle.	https://megatenwiki.com/images/b/bb/P5X_Barong_Artwork.png	43	55	41	31	32	Wind				Electric,Light	0	barong
60	Odin	Emperor	74	The father of all gods in Norse legend. He willingly sacrificed one eye to gain wisdom. In preparation for Ragnarok, he gathers the souls of fallen warriors to his hall, Valhalla. 	https://megatenwiki.com/images/f/fe/SMT1_Odin_Artwork.png	44	63	42	46	49	Wind			Electric		0	odin
61	Omoikane	Hierophant	7	A deity of knowledge in Japanese myth. He conceived the plan to draw Amaterasu from the Amato-Iwato, the cave she was hiding in.	https://megatenwiki.com/images/b/bd/P3_Omoikane_Artwork.png	4	8	6	4	6	Dark	Electric				0	omoikane
62	Berith	Hierophant	13	One of the 72 demons of the Goetia. Known as the Duke of Hell, he rides a gigantic horse and burns those without manners.	https://megatenwiki.com/images/c/c5/P5X_Berith_Artwork.png	12	7	10	11	6	Electric	Fire,Wind				0	berith
63	Shiisaa	Hierophant	23	A holy beast said to protect houses from evil and bring good fortune. They look similar to Shinto guardian dogs, but are actually modeled after a lion. There are many stories about it in Ryukyu lore.	https://megatenwiki.com/images/0/00/P5X_Shiisaa_Artwork.png	15	15	19	16	11	Fire	Strike,Light			Ice	0	shiisaa
64	Flauros	Hierophant	33	One of the 72 demons of the Goetia. He appears as a leopard and can see the past and future. He can control fire and burn all his adversaries to death.	https://megatenwiki.com/images/d/df/P5X_Flauros_Artwork.png	27	25	20	18	16	Ice	Wind			Fire	0	flauros
65	Castor	Hierophant	39	A hero in Greek mythology. He is Polydeuces's half-brother, but doesn't share his brother's immortality. He was struck and killed by an arrow, after which he and his brother became stars in the constellation Gemini. 	https://megatenwiki.com/images/6/6b/P3R_Castor_Artwork.png	42	18	37	23	17						0	castor
66	Thoth	Hierophant	40	Egyptian moon god that takes the form of a baboon, he is the one who measures time. He gave Isis the power to resurrect Osiris after he was killed by the evil god Seth.	https://megatenwiki.com/images/2/23/P5X_Thoth_Artwork.png	20	40	20	25	25	Strike,Dark				Electric,Light	0	thoth
67	Mishaguji	Hierophant	48	An indigenous god of the Shinano region from before the forces of Yamato occupied the land. Said to be born from the belief that divine spirits dwelled in rocks and stones.	https://megatenwiki.com/images/0/0c/SH1_Mishaguji_Artwork.png	36	35	30	24	26	Ice				Electric,Dark	0	mishaguji
68	Daisoujou	Hierophant	59	A monk who died while fasting. His spiritual power allows his body to continue to exist without rotting. It is said that he will appear before people on the day of salvation.	https://megatenwiki.com/images/3/3a/P5X_Daisoujou_Artwork.png	33	49	38	31	42	Dark				Light	0	daisoujou
69	Kohryu	Hierophant	71	Known as the Yellow Dragon and renowned as the most benevolent of the dragons. It reigns over the Ssu-Ling, celestial creatures in Chinese myth. It is located in the center of the four beasts.	https://megatenwiki.com/images/f/f2/P5X_Kohryu_Artwork.png	44	53	58	31	40			Electric		Light	0	kohryu
70	Io	Lovers	1	A priestess in service of the goddess Hera. When Zeus fell in love with her, he transformed her into a cow to hide her from Hera, but Hera saw through the ruse. She was rescued by Hermes, and escaped across the sea to safety.	https://megatenwiki.com/images/d/df/P3R_Io_Artwork.png	2	3	1	2	2	Electric	Wind				0	io
71	Isis	Lovers	1	Osiris's wife as well as his younger sister. Upon the death of her husband at the hands of Seth, she traveled all over Egypt to recover the pieces of his body, and revived him with her incredible magic power. 	https://megatenwiki.com/images/1/16/P3_Isis_Artwork.png	2	3	1	2	2	Electric				Wind	0	isis
72	Pixie	Lovers	2	Friendly fairies of the forest that tend to hide from humans. They like to play tricks on lazy people. It is said they are the souls of dead, unbaptized children.	https://megatenwiki.com/images/e/ed/P5X_Pixie_Artwork.png	2	2	2	4	3	Ice	Electric				0	pixie
73	Silky	Lovers	5	A fairy of England and Scotland. She carries out household chores while everyone sleeps and is a welcome spirit. It is said you can hear her silk skirt rustle as she works.	https://megatenwiki.com/images/5/59/P5X_Silky_Artwork.png	3	7	3	4	5	Fire,Electric	Ice				0	silky
74	Tam Lin	Lovers	13	A fae knight of the Seelie Court, said to protect the forest of Carterhaugh. After being kidnapped by the faeries at the tender age of nine, he lived much of his life among them.	https://megatenwiki.com/images/f/f4/SMT1_Tam_Lin_Artwork.png	12	11	8	10	5	Dark	Slash,Light			Electric	0	tam-lin
75	Carmen	Lovers	19	A Persona of another story. She is a gypsy thief from the novel by Merimee, which became famous through the opera by Bizet. She is a femme fatale who is beautiful but very capricious.	https://megatenwiki.com/images/7/77/P5X_Carmen_Artwork.png	8	18	12	14	12	Ice	Fire				1	carmen
76	Narcissus	Lovers	23	A young man of Greek myth. He rejected the nymph Echo, who faded to a whisper out of despair. Cursed by Nemesis, he fell in love with his own reflection and wasted away.	https://megatenwiki.com/images/8/82/P5X_Narcissus_Artwork.png	12	18	10	17	20	Slash	Ice,Electric,Wind				0	narcissus
77	Queen Medb	Lovers	28	The fairy queen in Celtic myth. Often identified with Titania, Oberon's wife. She would offer mead mixed with her blood to her many consorts.	https://megatenwiki.com/images/c/c3/P5X_Queen_Mab_Artwork.png	14	26	15	19	17	Wind	Fire			Electric	0	queen-medb
78	Saki Mitama	Lovers	36	One of the four aspects of Shinto thought, it brings great bounty from the hunt. It is said to aid in love, profit, and growth, and can create new paths.	https://megatenwiki.com/images/0/0b/P5X_Saki_Mitama_Artwork.png	16	30	20	22	28	Strike	Fire,Ice,Electric,Wind				0	saki-mitama
79	Hecate	Lovers	42	A Persona of another story. She is a Greek goddess of crossroads, ghosts and witchcraft, and is commonly attended to by dogs. She is also known to be the chief of the witches that appears in the play Macbeth.	https://megatenwiki.com/images/4/40/P3R_Hecate_Render.png	22	35	24	26	26	Ice	Electric			Fire	1	hecate
80	Titania	Lovers	49	The queen of the fairies and Oberon's wife. She is derived from the Roman goddess Diana. She was later immortalized in Shakespeare's play A Midsummer Night's Dream.	https://megatenwiki.com/images/5/50/P5X_Titania_Artwork.png	19	45	23	34	36	Fire	Light			Ice	0	titania
81	Raphael	Lovers	60	One of the four major archangels, his name means ''healer.'' He recites the history of the fallen angels and the creation of Adam and Eve.	https://megatenwiki.com/images/7/7a/SMT2_Raphael_Artwork.png	46	42	37	31	40	Electric,Dark	Fire			Wind,Light	0	raphael
82	Cybele	Lovers	67	The Phrygian mother goddess of the earth, she is often depicted with wild animals, and lions in particular. She had her priest, Attis, as a lover, but drove him insane when he was forced to marry another.	https://megatenwiki.com/images/5/53/SH1_Cybele_Artwork.png	39	54	40	42	45	Electric	Fire,Light			Ice	0	cybele
83	Ara Mitama	Chariot	6	One of the four aspects of Shinto thought, it has the power to grant ferocity. It is said to aid in one's bravery, growth, and endeavors, though it can lead in a negative direction.	https://megatenwiki.com/images/e/e6/P5X_Ara_Mitama_Artwork.png	8	3	4	5	5	Wind	Strike,Fire				0	ara-mitama
84	Chimera	Chariot	9	The offspring of Typhon and Echidna, this monster of Greek myth is part lion, part goat, and part dragon.	https://megatenwiki.com/images/a/ab/DeSum_Chimera_Artwork.png	8	4	12	4	6	Dark	Strike,Fire				0	chimera
85	Zouchouten	Chariot	14	Also known as Virudhaka, he is the protector of the South and is one of the four Heavenly Kings of Buddhist origin. He is the god of the five grains, and was once the chief of the gods.	https://megatenwiki.com/images/3/33/P5X_Zouchouten_Artwork.png	14	7	13	6	10	Wind	Strike				0	zouchouten
86	Captain Kidd	Chariot	18	A Persona of another story. He was a 17th-century privateer who eventually became a world-renowned pirate. At his execution, he declared he had a hidden treasure, leaving behind many legends.	https://megatenwiki.com/images/5/51/P5X_Captain_Kidd_Artwork.png	14	8	16	12	11	Wind	Electric				1	captain-kidd
87	Mithras	Chariot	24	A sun deity who was worshiped in the Roman Empire from the 1st to the 4th century AD. He was said to be reborn after death, and a festival was held on the winter solstice for him.	https://megatenwiki.com/images/b/b8/P5X_Mithras_Artwork.png	16	19	15	14	15	Electric	Slash		Fire		0	mithras
88	Palladion	Chariot	27	A guardian statue in ancient Greece, stolen from Troy, that protected the city in which it was enshrined. It is said that Athena was so saddened by the death of her friend, Pallas, that she had the wooden statue made in her image. 	https://megatenwiki.com/images/3/39/P3R_Palladion_Artwork.png	21	15	24	15	13	Electric	Pierce				0	palladion
89	Athena	Chariot	27	Daughter of Zeus, and a goddess of great martial ability. She fights to protect her land or family, but never for sheer bloodlust. Her symbol is the olive tree.	https://megatenwiki.com/images/f/f2/P3_Athena_Artwork.png	21	15	24	15	13	Electric				Pierce	0	athena
90	Oni	Chariot	31	An evil monster from Japanese lore known for its hideous appearance and brute strength. They loot and plunder villages, massacring the townspeople with their iron clubs. 	https://megatenwiki.com/images/c/c0/P5X_Oni_Artwork.png	30	13	26	21	19		Strike				0	oni
91	Seiten Taisei	Chariot	40	A Persona of another story. This is a title Sun Wukong had given himself. After wreaking havoc, he was punished by Buddha, who imprisoned him under a mountain. Eventually, he was saved by a monk named Xuanzang.	https://megatenwiki.com/images/e/ec/P3R_Seiten_Taisei_Render.png	30	20	33	24	20	Wind	Fire			Electric	1	seiten-taisei
92	Shiki-Ouji	Chariot	45	An exceptionally powerful shikigami. Only the most elite onmyoji are able to summon it and bind it to paper. It can ward off disaster or cure illness, but its ordinary temperament is quite vicious.	https://megatenwiki.com/images/5/52/P5X_Shiki-Ouji_Artwork.png	33	28	28	25	28	Fire,Wind	Light,Dark	Strike		Pierce	0	shiki-ouji
93	Koumokuten	Chariot	52	Also known as Virupaksha, he is the protector of the West, and is one of the four Heavenly Kings of Buddhist origin. He keeps a close watch on the world with his sharp gaze.	https://megatenwiki.com/images/e/e4/P5X_Koumokuten_Artwork.png	40	35	40	25	29	Electric	Strike,Pierce			Wind	0	koumokuten
94	Thor	Chariot	64	The Norse thunder god and son of Odin. He owns the power-enhancing belt, Megingjard, and wields Mjolnir, a hammer that causes lightning to strike and returns to its owner if thrown.	https://megatenwiki.com/images/d/dd/P5X_Thor_Artwork.png	54	50	42	30	35	Wind				Strike,Electric	0	thor
95	Angel	Justice	4	Ninth of the nine orders of angels. The ''watchers'' who never sleep. Among these are the guardian angels who are assigned to every human at birth. 	https://megatenwiki.com/images/5/5f/P5X_Angel_Artwork.png	4	5	3	4	3	Dark	Electric,Light				0	angel
96	Archangel	Justice	10	Eighth of the nine orders of angels. Their duty is to minister to humans and deliver messages. They are warriors of Heaven and lead Heaven's forces during battle with the armies of evil. 	https://megatenwiki.com/images/9/95/P5X_Archangel_Artwork.png	8	8	8	7	6	Electric,Dark	Slash			Light	0	archangel
97	Principality	Justice	16	The seventh of the nine orders of angels. They guard cities and nations, and protect various religious figures.	https://megatenwiki.com/images/9/96/P5X_Principality_Artwork.png	11	13	7	12	12	Dark	Fire			Light	0	principality
98	Power	Justice	25	The sixth of the nine orders of angels. It is said that they were the first order to be created. Their duty is to protect human souls from demons.	https://megatenwiki.com/images/d/d8/P5X_Power_Artwork.png	20	16	15	16	15	Dark	Pierce,Wind			Light	0	power
99	Virtue	Justice	32	The fifth of the nine orders of angels, also known as ''The Shining Ones.'' They work miracles and support those struggling with their faith.	https://megatenwiki.com/images/d/d8/DeSum_Virtue_Artwork.png	21	24	15	22	22	Dark	Wind	Light			0	virtue
100	Robin Hood	Justice	37	A Persona of another story. He is a noble thief that made waves in England during the Middle Ages. He is an expert archer and leader of the Merry Men, outlaws of justice who made Sherwood Forest their home.	https://megatenwiki.com/images/7/74/P5X_Robin_Hood_Artwork.png	25	27	22	24	20	Dark	Light				1	robin-hood
